timestamp,event_type,window_id,trigger,mode,details,gate_failed,state_snapshot_json
2026-04-19 12:49:13.083,WS_HEARTBEAT_TIMEOUT,,hyperliquid,,No pong received within 3 seconds,,{}
2026-04-19 12:49:13.457,WS_HEARTBEAT_TIMEOUT,,polymarket,,No pong received within 3 seconds,,{}
2026-04-19 12:49:18.089,WS_RECONNECT,,hyperliquid,,"Reconnecting attempt 1/5, delay 1s",,{}
2026-04-19 12:49:18.476,WS_RECONNECT,,polymarket,,"Reconnecting attempt 1/5, delay 1s",,{}
2026-04-19 12:49:27.715,WS_RECONNECT,,polymarket,,connected,,{}
2026-04-19 12:49:27.835,WS_RECONNECT,,hyperliquid,,connected,,{}
2026-04-19 12:49:37.816,WS_HEARTBEAT_TIMEOUT,,hyperliquid,,No pong received within 3 seconds,,{}
2026-04-19 12:49:42.886,WS_RECONNECT,,hyperliquid,,"Reconnecting attempt 1/5, delay 1s",,{}
2026-04-19 12:49:46.531,WS_RECONNECT,,hyperliquid,,connected,,{}
2026-04-19 12:50:32.132,WS_HEARTBEAT_TIMEOUT,,hyperliquid,,No pong received within 3 seconds,,{}
2026-04-19 12:50:32.406,WS_RECONNECT,,hyperliquid,,"Reconnecting attempt 1/5, delay 1s",,{}
2026-04-19 12:50:36.771,WS_RECONNECT,,hyperliquid,,connected,,{}
2026-04-19 12:51:13.934,WS_HEARTBEAT_TIMEOUT,,hyperliquid,,No pong received within 3 seconds,,{}
2026-04-19 12:51:16.199,WS_HEARTBEAT_TIMEOUT,,polymarket,,No pong received within 3 seconds,,{}
2026-04-19 12:51:18.192,WS_RECONNECT,,hyperliquid,,"Reconnecting attempt 1/5, delay 1s",,{}
2026-04-19 12:51:19.203,WS_RECONNECT,,polymarket,,connected,,{}
2026-04-19 12:51:21.477,WS_RECONNECT,,hyperliquid,,connected,,{}
2026-04-19 12:51:38.699,WS_HEARTBEAT_TIMEOUT,,polymarket,,No pong received within 3 seconds,,{}
2026-04-19 12:51:39.476,WS_HEARTBEAT_TIMEOUT,,hyperliquid,,No pong received within 3 seconds,,{}
2026-04-19 12:51:40.572,WS_RECONNECT,,hyperliquid,,"Reconnecting attempt 1/5, delay 1s",,{}
2026-04-19 12:51:42.697,WS_RECONNECT,,polymarket,,connected,,{}
2026-04-19 12:51:43.612,WS_RECONNECT,,hyperliquid,,connected,,{}
2026-04-19 12:51:53.770,WS_HEARTBEAT_TIMEOUT,,hyperliquid,,No pong received within 3 seconds,,{}
2026-04-19 12:51:55.006,WS_RECONNECT,,hyperliquid,,"Reconnecting attempt 1/5, delay 1s",,{}
2026-04-19 12:51:56.469,WS_RECONNECT,,hyperliquid,,connected,,{}
2026-04-19 12:52:13.080,WS_HEARTBEAT_TIMEOUT,,polymarket,,No pong received within 3 seconds,,{}
2026-04-19 12:52:13.817,WS_HEARTBEAT_TIMEOUT,,hyperliquid,,No pong received within 3 seconds,,{}
2026-04-19 12:52:16.352,WS_RECONNECT,,hyperliquid,,"Reconnecting attempt 1/5, delay 1s",,{}
2026-04-19 12:52:16.700,WS_RECONNECT,,polymarket,,connected,,{}
2026-04-19 12:52:18.987,WS_RECONNECT,,hyperliquid,,connected,,{}
2026-04-19 12:52:32.398,WS_HEARTBEAT_TIMEOUT,,hyperliquid,,No pong received within 3 seconds,,{}
2026-04-19 12:52:34.169,WS_HEARTBEAT_TIMEOUT,,polymarket,,No pong received within 3 seconds,,{}
2026-04-19 12:52:36.675,WS_RECONNECT,,hyperliquid,,"Reconnecting attempt 1/5, delay 1s",,{}
2026-04-19 12:52:38.086,WS_RECONNECT,,hyperliquid,,connected,,{}
2026-04-19 12:52:38.438,WS_RECONNECT,,polymarket,,connected,,{}
2026-04-19 12:52:47.745,WS_HEARTBEAT_TIMEOUT,,polymarket,,No pong received within 3 seconds,,{}
2026-04-19 12:52:47.933,WS_HEARTBEAT_TIMEOUT,,hyperliquid,,No pong received within 3 seconds,,{}
2026-04-19 12:52:52.753,WS_RECONNECT,,polymarket,,"Reconnecting attempt 1/5, delay 1s",,{}
2026-04-19 12:52:53.043,WS_RECONNECT,,hyperliquid,,"Reconnecting attempt 1/5, delay 1s",,{}
2026-04-19 12:52:55.381,WS_RECONNECT,,polymarket,,connected,,{}
2026-04-19 12:52:58.744,WS_RECONNECT,,hyperliquid,,connected,,{}
2026-04-19 12:53:07.890,WS_HEARTBEAT_TIMEOUT,,hyperliquid,,No pong received within 3 seconds,,{}
2026-04-19 12:53:08.820,WS_HEARTBEAT_TIMEOUT,,polymarket,,No pong received within 3 seconds,,{}
2026-04-19 12:53:09.530,WS_RECONNECT,,hyperliquid,,"Reconnecting attempt 1/5, delay 1s",,{}
